Person A,Person B,Predicted Strength
2023CSB1117,2023CSB1166,0.9910776973654647
2023CSB1117,2023CSB1129,0.9838565831261795
2023CSB1117,2023CSB1105,1.0026623037003126
2023CSB1117,2023MCB1307,0.9864327123159116
2023CSB1117,2023CSB1123,0.9948764821988659
2023CSB1117,2022CSB1091,0.9837780356522007
2023CSB1117,2023MCB1291,0.9927843963192174
2023CSB1117,2023CSB1158,0.9822287317369794
2023CSB1117,2023CSB1095,0.9966292752364355
2023CSB1117,2022MCB1337,0.9966514083834769
2023CSB1117,2023CSB1093,0.9971570747472533
2023CSB1117,2023CSB1092,0.9901900629492365
2023CSB1117,2023MCB1294,0.986746668147398
2023CSB1117,2022MCB1318,0.9869108799553928
2023CSB1117, ,0.9905698155527024
2023CSB1117,2023CSB1174,0.9749564969138819
2023CSB1117,2023MCB1289,0.9915129046070571
2023CSB1117,2023CSB1170,0.9778528466743172
2023CSB1117,2023MCB1302,0.9869429213403993
2023CSB1117,2023CSB1136,0.9902707721753332
2023CSB1117,2020MCB1225,0.9832264516596589
2023CSB1117,2023MCB1293,0.9916147341837119
2023CSB1117,2022CSB1150,1.0019271943901327
2023CSB1117,2023MCB1299,0.9858760137020977
2023CSB1117,2023CSB1161,0.9862399533618957
2023CSB1117,2023MCB1319,0.988532495346535
2023CSB1117,2023CSB1138,0.9965168823514736
2023CSB1117,2023CSB1100,0.9945128953138711
2023CSB1117,2023CSB1130,0.9889749619858618
2023CSB1117,2023MCB1314,0.9885957965381047
2023CSB1117,2023MCB1304,0.9834852555142986
2023CSB1117,2023CSB1112,0.99010581739177
2023CSB1117,2023CSB1165,0.96293544126221
2023CSB1117,2022CSB1297,0.9849984076496116
2023CSB1117,2023CSB1103,0.9899562046889244
2023CSB1117,2023MCB1303,0.9921339842284591
2023CSB1117,2023CSB1151,0.98630329119886
2023CSB1117,2023MCB1287,0.9911545224429159
2023CSB1117,2023MCB1315,0.991853205264338
2023CSB1117,2022CSB1072,1.207077126161383
2023CSB1117,2023CSB1140,0.9960150561720501
2023CSB1117,2023CSB1144,0.9883637835833332
2023CSB1117,2023MCB1292,0.9895208392683208
2023CSB1117,2023CSB1167,1.1837282990723164
2023CSB1117,2023MCB1288,0.9900811534007627
2023CSB1117,2023MCB1309,0.9815690020434423
2023CSB1117,2022CSB1202,0.9965400500789389
2023CSB1117,2023MCB1297,0.9949474144776354
2023CSB1117,2023CSB1142,0.9932677161647256
2023CSB1117,2022CSB1141,1.1905077592928488
2023CSB1117,2023CSB1104,0.9878200134499293
2023CSB1117,2023CSB1111,0.9892800170351971
2023CSB1117,2022MCB1254,0.9884766887590763
2023CSB1117,2023CSB1113,0.985000810188033
2023CSB1117,2023CSB1135,0.9775780917351231
2023CSB1117,2023MCB1317,0.9873085504803303
2023CSB1117,2023CSB1127,0.991374038705762
2023CSB1117,2022CSB1329,0.9891871350049397
2023CSB1117,2023CSB1098,0.9851172195270408
2023CSB1117,2023MCB1318,0.9968009835661211
2023CSB1117,2022CSB1070,1.0639888479299113
2023CSB1117,2023CSB1147,0.9907495708875474
2023CSB1117,2022CSB1314,0.9984008154832081
2023CSB1117,2023CSB1102,0.9923491881347445
2023CSB1117,2021CSB1122,0.9878449609479792
2023CSB1117,2023CSB1124,0.9941054800705638
2023CSB1117,2023MCB1312,0.9925890855098488
2023CSB1117,2023CSB1168,1.1717175798557473
2023CSB1117,2021CSB1121,0.9793866579564693
2023CSB1117,2023CSB1146,0.9944542854845904
2023CSB1117,2023CSB1106,0.9906981782567141
2023CSB1117,2023CSB1149,0.9912875745917127
2023CSB1117,2023MCB1295,0.9877283313184114
2023CSB1117,2023CSB1159,0.9908381042436922
2023CSB1117,2023CSB1171,0.9957080762783197
2023CSB1117,2022MCB1363,1.0400138871473472
2023CSB1117,2023CSB1120,1.0345458806294132
2023CSB1117,2023MCB1316,0.9902421507141659
